Year,1,2,3,4,5,6+
1970,5410.3,734.4,237.7,35.4,4,0.5
1971,902.7,1831.1,113.4,2.9,28.9,0.5
1972,1454.7,272.3,148.6,0.5,28.3,0.5
1973,5587.2,935.3,83.8,37.3,13,0.5
1974,2347.9,361.4,65.2,0.5,0.5,4.4
1975,525.4,864.5,177,17.5,0.5,17.1
1976,1399.4,73.6,229.1,26.7,5.7,0.5
1977,3742.9,776.1,103.8,43.1,31.7,3.9
1978,1547.7,1354.7,294.1,28,99.4,13.3
1979,93.8,408.3,300.8,76.9,0.5,16.7
1980,4312.9,88.9,109.3,61.3,3.3,0.5
1981,3737.2,1413.1,50,20,0.5,0.5
1982,5856.5,1146.2,227.8,6.7,10,0.5
1983,2621.1,1123.3,120.6,39.9,0.5,19.7
1984,2493.1,1099.9,318.3,74.4,8,0.5
1985,3619.4,715.6,167.1,49.3,4.4,0.5
1986,3705.1,457.6,69.2,31.4,16.7,0.5
1987,1947.9,943.7,64.8,21.3,0.5,0.5
1988,11226.7,593.8,281.6,81.5,10.2,15.5
1989,2830.7,5005,207.6,53.1,18.2,18.6
1990,2856.2,1119.5,914.3,100.4,49.6,12.5
1991,1253.6,2529.1,513.8,623.9,27.2,35.8
1992,11114,144.4,360.4,194.9,284.8,20
1993,1290.8,3419.6,153.8,212.8,0.5,191.7
1994,651.8,498.3,934.1,10.2,59.3,0.5
1995,1362.1,223.7,142.8,411.1,7.1,31.1
1996,218.4,349.1,29.6,35.5,90,10
1997,10279.3,153.6,189.8,26.5,58.1,230
1998,4094.6,3126.4,141.7,98.7,0.5,10
1999,1648.9,971.8,455.6,10,20.7,0.5
2000,1639.2,125.9,166.3,118,0.5,2
2001,970.3,655.4,106.7,35.5,56.2,0.5
2002,7547.5,379,195.3,0.5,30.8,19.2
2003,NA,NA,NA,NA,NA,NA
2004,1369.5,624.4,393,68.9,53.1,7.5
2005,568.1,162.9,124,0.5,21.3,6.7
2006,2726.4,117.1,25,30,0.5,0.5
2007,848.6,911,33.3,39.5,14.4,0.5
2008,1259.1,258.5,325.3,0.5,10,0.5
2009,1931.6,344.4,61.7,102.7,0.5,0.5
2010,2636.9,237.1,67.1,42.2,23.2,0.5
2011,1248,883.9,211.3,111.8,0.5,38
2012,226.6,159.5,54,18,0.5,0.5
2013,967.4,426.6,490.5,179.3,50.8,7.6
2014,2849,448.2,44.8,60,33.6,0.5
2015,3192,2333.9,137.8,159.9,162.4,150.6
2016,733.8,623.3,494.6,109.8,16.7,42.9
2017,956.7,204.3,209.6,209.7,41.6,5.2
2018,1002.3,482.4,163.1,94.1,82.4,5.7
2019,7896.7,476.3,375.2,60.7,6.7,50.9
2020,294.7,2023.2,105.1,137.9,48.4,0.5
2021,210.6,87.7,365.4,44.8,3.6,0.5
