Year,1,2,3,4,5,6,7,8,9,10+
1957,0,1472,10556,13150,3913,3041,6780,1803,529,6541
1958,0,1863,8482,14240,9547,3501,3023,4461,2264,6590
1959,0,3694,12139,10499,9060,5823,1217,2044,2598,5668
1960,0,11965,14043,16691,9248,8313,4815,1583,1049,7851
1961,0,972,50470,19403,12574,4760,3998,4338,847,7355
1962,0,1584,6173,58836,15254,10478,4797,4087,2074,7450
1963,0,670,8271,8485,45823,8420,6603,2403,3365,8316
1964,53,150,2041,5518,3680,16749,3020,1749,790,2913
1965,0,45180,1045,1534,4798,2381,11990,1494,1463,3077
1966,0,12145,132170,979,1168,3649,736,6255,694,2424
1967,0,3769,26260,87039,1998,548,1962,777,5160,2978
1968,1034,17093,13852,24894,48417,461,244,1639,323,6502
1969,404,24404,21884,5433,12638,25646,338,249,1214,5379
1970,1299,6141,25996,8236,1784,3231,11961,246,140,5234
1971,425,33765,14596,12909,4538,1459,2355,7300,194,4649
1972,354,7511,36356,6997,4911,1548,517,1218,4654,2772
1973,716,12459,13025,16493,4101,2368,1013,779,1241,5899
1974,100,15171,21248,5412,6965,1896,1563,649,396,4750
1975,267,23193,28833,11839,2110,3870,798,916,513,3481
1976,1064,3619,28571,14316,4923,987,1950,562,434,2721
1977,1780,22747,12299,15593,7580,1812,325,1133,261,2155
1978,27,24921,29163,6102,6610,4231,1730,608,643,1595
1979,9,8280,41681,16259,3033,3262,1769,826,244,1546
1980,650,1233,12762,18138,7444,1479,2241,1437,374,1227
1981,434,29983,3344,7046,8439,3757,973,909,786,932
1982,2697,26799,46375,1868,3584,4855,1701,623,613,1295
1983,391,34545,41551,21273,626,1383,1958,982,388,1181
1984,192,30839,44081,22631,8821,744,857,1047,526,897
1985,163,16449,42773,20079,9307,3520,207,375,631,965
1986,372,9304,18381,17591,7698,5480,2256,109,281,1671
1987,93,28896,21927,8851,6477,3102,1559,898,81,690
1988,10,13206,47135,15217,4377,3878,1549,890,523,317
1989,115,45652,17973,22295,4551,1627,1414,637,451,459
1990,854,11816,103380,9667,9099,3315,1032,1186,548,837
1991,118,12938,24985,76580,6609,3612,1706,707,718,1072
1992,965,6730,43713,15961,37745,2440,2995,730,393,1163
1993,53,49870,16575,31047,13709,23758,1472,1170,456,833
1994,709,7710,86349,13387,18513,5642,11174,458,905,897
1995,4766,12674,16700,68073,6262,7254,1981,5971,293,665
1996,170,18609,16005,16770,26946,3814,4725,932,3267,976
1997,1574,5987,23418,7253,5058,12667,1189,2303,330,1672
1998,242,56162,15011,14806,3466,1924,4727,787,1022,838
1999,284,15601,71730,8103,6049,1200,657,1964,328,804
2000,2329,14929,32425,42394,3257,2453,796,431,922,708
2001,857,25045,20925,19260,16211,1383,808,266,163,701
2002,1046,10958,32570,12185,8145,6393,667,592,88,362
2003,1047,32295,17479,16072,5814,3902,2427,400,128,451
2004,516,14960,48003,9531,7462,2167,902,962,389,389
2005,1131,7254,22633,28875,4168,3861,1491,602,768,392
2006,7008,9966,10397,9606,10943,1617,1577,724,373,553
2007,315,39643,10820,6407,5706,5479,819,725,498,541
2008,1959,6325,37427,5996,2928,2393,2613,448,491,459
2009,1630,10417,10771,26548,3278,1652,1591,1532,312,864
2010,371,11659,13354,8530,13623,1817,907,809,1196,690
2011,44,11992,19788,8379,5070,6436,983,431,283,765
2012,1,6439,28605,11069,4285,2146,4072,587,286,1028
2013,0,2741,28189,21500,5643,2042,1532,2246,242,471
2014,371,8111,6916,22942,11440,2591,1808,620,840,459
2015,201,10512,16589,4738,14756,6157,1470,562,393,545
2016,119,6151,24249,11489,4475,8994,4495,774,278,854
2017,416,4928,17641,16818,5909,2118,3745,2005,443,498
2018,331,11141,9184,11994,10095,3918,1096,1942,804,436
2019,488.4344,6238.347185,15757.462099,6237.302626,5382.971396,4784.422506,1485.102846,695.577045,1623.230257,472.736
2020,121.830135,18090.797271,10055.153468,10650.123654,2647.674445,2131.190081,1499.040968,562.366473,152.209711,1258.466
2021,337.307301,2317.428333,23740.354409,7573.241038,4329.738163,1245.418852,826.167228,702.698818,249.099536,261.972
