Year,1,2,3,4,5,6,7,8,9,10+
1957,0.155,0.154,0.177,0.204,0.248,0.279,0.29,0.335,0.436,0.408127044794374
1958,0.155,0.145,0.178,0.22,0.254,0.273,0.314,0.323,0.388,0.413444764795144
1959,0.155,0.162,0.188,0.228,0.261,0.301,0.328,0.321,0.373,0.426206069160198
1960,0.155,0.153,0.185,0.235,0.254,0.277,0.301,0.309,0.381,0.417700165584002
1961,0.155,0.146,0.174,0.211,0.255,0.288,0.319,0.304,0.346,0.419322229775663
1962,0.155,0.155,0.165,0.208,0.241,0.295,0.32,0.321,0.334,0.411861476510067
1963,0.155,0.163,0.171,0.219,0.258,0.309,0.323,0.387,0.376,0.484630591630592
1964,0.153,0.175,0.213,0.252,0.274,0.309,0.327,0.346,0.388,0.480497425334707
1965,0.155,0.169,0.209,0.246,0.286,0.282,0.345,0.378,0.404,0.479719857003575
1966,0.155,0.177,0.19,0.18,0.301,0.332,0.429,0.399,0.449,0.501475660066007
1967,0.155,0.192,0.201,0.252,0.277,0.389,0.419,0.339,0.424,0.491228676964406
1968,0.157,0.189,0.207,0.267,0.327,0.342,0.354,0.455,0.465,0.507524146416487
1969,0.152,0.191,0.196,0.255,0.311,0.373,0.553,0.398,0.468,0.522709425543781
1970,0.154,0.212,0.218,0.285,0.35,0.404,0.441,0.463,0.443,0.532596102407337
1971,0.145,0.193,0.237,0.322,0.358,0.425,0.42,0.49,0.534,0.54714239621424
1972,0.169,0.204,0.252,0.334,0.434,0.425,0.532,0.485,0.558,0.62906746031746
1973,0.146,0.208,0.238,0.346,0.404,0.448,0.552,0.567,0.509,0.585751313781997
1974,0.164,0.192,0.233,0.338,0.418,0.448,0.52,0.559,0.609,0.653265473684211
1975,0.129,0.182,0.225,0.32,0.406,0.456,0.529,0.595,0.629,0.669345015800058
1976,0.143,0.19,0.222,0.306,0.389,0.441,0.512,0.562,0.667,0.664718118338846
1977,0.147,0.188,0.236,0.307,0.369,0.424,0.43,0.52,0.562,0.619396751740139
1978,0.152,0.196,0.231,0.314,0.37,0.426,0.466,0.417,0.572,0.666354858934169
1979,0.137,0.208,0.246,0.323,0.391,0.448,0.534,0.544,0.609,0.762959896507115
1980,0.141,0.199,0.244,0.331,0.371,0.418,0.499,0.55,0.598,0.684116544417278
1981,0.143,0.187,0.226,0.324,0.378,0.424,0.442,0.516,0.542,0.630223175965665
1982,0.141,0.188,0.216,0.307,0.371,0.409,0.437,0.491,0.58,0.655682625482625
1983,0.134,0.182,0.217,0.301,0.389,0.416,0.467,0.489,0.505,0.642250635055038
1984,0.153,0.171,0.221,0.286,0.361,0.386,0.465,0.555,0.575,0.633823857302118
1985,0.122,0.187,0.216,0.288,0.357,0.427,0.447,0.544,0.612,0.644764766839378
1986,0.135,0.179,0.213,0.299,0.357,0.407,0.485,0.543,0.568,0.609545780969479
1987,0.139,0.185,0.205,0.277,0.356,0.378,0.428,0.481,0.393,0.656960869565217
1988,0.127,0.175,0.217,0.27,0.354,0.428,0.484,0.521,0.559,0.712413249211357
