Year,1,2,3,4,5,6,7,8,9,10+
1957,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1958,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1959,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1960,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1961,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1962,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1963,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1964,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1965,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1966,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1967,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1968,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1969,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1970,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1971,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1972,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1973,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1974,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1975,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1976,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1977,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1978,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1979,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1980,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1981,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1982,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1983,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1984,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1985,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1986,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1987,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1988,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1989,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1990,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1991,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1992,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1993,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1994,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1995,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1996,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1997,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1998,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
1999,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
2000,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
2001,0.059,0.082,0.096,0.104,0.112,0.106,0.12,0.131,0.137,0.137
2002,0.046,0.068,0.084,0.091,0.096,0.11,0.124,0.137,0.137,0.137
2003,0.054,0.087,0.1,0.107,0.114,0.11,0.124,0.137,0.137,0.137
2004,0.065,0.089,0.103,0.111,0.118,0.095,0.124,0.137,0.137,0.137
2005,0.068,0.089,0.104,0.109,0.114,0.103,0.107,0.137,0.137,0.137
2006,0.066,0.082,0.099,0.109,0.108,0.115,0.113,0.121,0.137,0.137
2007,0.066,0.087,0.098,0.102,0.107,0.104,0.121,0.136,0.136,0.136
2008,0.064,0.086,0.101,0.112,0.124,0.11,0.111,0.137,0.137,0.137
2009,0.066,0.089,0.101,0.106,0.114,0.126,0.104,0.137,0.137,0.137
2010,0.066,0.083,0.096,0.105,0.109,0.111,0.113,0.121,0.121,0.121
2011,0.053,0.081,0.093,0.104,0.113,0.104,0.11,0.122,0.126,0.126
2012,0.059,0.075,0.09,0.096,0.111,0.08,0.115,0.122,0.121,0.121
2013,0.041,0.075,0.086,0.1,0.117,0.09,0.112,0.117,0.121,0.121
2014,0.051,0.079,0.089,0.097,0.106,0.1,0.117,0.099,0.147,0.147
2015,0.032,0.076,0.095,0.087,0.105,0.117,0.132,0.124,0.159,0.159
2016,0.024,0.073,0.087,0.095,0.114,0.108,0.124,0.221,0.214,0.214
2017,0.047,0.073,0.086,0.086,0.097,0.124,0.111,0.113,0.287,0.287
2018,0.035,0.069,0.086,0.091,0.097,0.103,0.102,0.105,0.0127,0.0127
