Year,1,2,3,4,5,6,7,8,9,10+
1957,0.025,0.07,0.147,0.187,0.208,0.253,0.262,0.355,0.39,0.365165876777251
1958,0.025,0.07,0.164,0.205,0.226,0.228,0.297,0.318,0.393,0.421503034901366
1959,0.025,0.07,0.159,0.198,0.239,0.271,0.292,0.276,0.303,0.425794107268878
1960,0.025,0.07,0.163,0.207,0.234,0.24,0.268,0.242,0.36,0.431316520188511
1961,0.025,0.07,0.148,0.206,0.235,0.232,0.259,0.274,0.281,0.396386267845003
1962,0.025,0.07,0.148,0.192,0.24,0.301,0.293,0.282,0.273,0.441363489932886
1963,0.025,0.07,0.148,0.193,0.243,0.275,0.311,0.363,0.329,0.465364117364117
1964,0.025,0.07,0.159,0.214,0.24,0.291,0.305,0.306,0.365,0.473870236869207
1965,0.025,0.14,0.198,0.223,0.251,0.297,0.337,0.358,0.526,0.460443938901527
1966,0.025,0.07,0.16,0.149,0.389,0.31,0.406,0.377,0.385,0.504513613861386
1967,0.025,0.177,0.164,0.235,0.242,0.399,0.362,0.283,0.381,0.459122229684352
1968,0.025,0.122,0.171,0.248,0.312,0.28,0.629,0.416,0.41,0.485610581359582
1969,0.025,0.137,0.174,0.252,0.324,0.364,0.579,0.415,0.469,0.52107473508087
1970,0.025,0.137,0.201,0.275,0.341,0.367,0.423,0.458,0.39,0.55441650745128
1971,0.034,0.148,0.213,0.313,0.361,0.41,0.432,0.474,0.483,0.53254269735427
1972,0.038,0.155,0.218,0.313,0.419,0.443,0.443,0.443,0.508,0.601783189033189
1973,0.039,0.149,0.226,0.322,0.371,0.433,0.452,0.472,0.446,0.535537718257332
1974,0.035,0.146,0.218,0.329,0.408,0.429,0.499,0.565,0.542,0.618040842105263
1975,0.035,0.148,0.206,0.311,0.403,0.446,0.508,0.582,0.58,0.650095374892272
1976,0.035,0.142,0.201,0.301,0.379,0.458,0.508,0.517,0.644,0.664812201396545
1977,0.035,0.147,0.202,0.291,0.365,0.409,0.478,0.487,0.531,0.644336426914153
1978,0.035,0.139,0.211,0.29,0.365,0.429,0.427,0.385,0.542,0.644413166144201
1979,0.045,0.148,0.211,0.3,0.352,0.429,0.521,0.562,0.567,0.743429495472186
1980,0.039,0.157,0.2,0.304,0.345,0.394,0.489,0.537,0.579,0.645126324368378
1981,0.05,0.137,0.2,0.305,0.364,0.402,0.454,0.522,0.561,0.622261802575107
1982,0.05,0.13,0.193,0.27,0.359,0.411,0.429,0.476,0.583,0.642225482625483
1983,0.05,0.14,0.2,0.285,0.329,0.435,0.464,0.483,0.51,0.636193903471634
1984,0.05,0.133,0.203,0.268,0.348,0.386,0.488,0.591,0.567,0.663457079152731
1985,0.05,0.127,0.185,0.267,0.324,0.381,0.38,0.626,0.554,0.642267357512953
1986,0.05,0.133,0.191,0.278,0.345,0.423,0.495,0.487,0.587,0.686251346499102
