year  BE  DK  FR  DE  NL  UK  other  official  bms  ices  tac
1982  1900  524  686  266  17686  403  2  21467  NA  21579  21000
1983  1740  730  332  619  16101  435  0  19957  NA  24927  20000
1984  1771  818  400  1034  14330  586  1  18940  NA  26839  20000
1985  2390  692  875  303  14897  774  3  19934  NA  24248  22000
1986  1833  443  296  155  9558  647  2  12934  NA  18201  20000
1987  1644  342  318  210  10635  676  4  13829  NA  17368  14000
1988  1199  616  487  452  9841  740  28  13363  NA  21590  14000
1989  1596  1020  312  864  9620  1033  50  14495  NA  21805  14000
1990  2389  1427  352  2296  18202  1614  263  26543  NA  35120  25000
1991  2977  1307  465  2107  18758  1723  271  27608  NA  33513  27000
1992  2058  1359  548  1880  18601  1281  277  26004  NA  29341  25000
1993  2783  1661  490  1379  22015  1149  298  29775  NA  31491  32000
1994  2935  1804  499  1744  22874  1137  298  31291  NA  33002  32000
1995  2624  1673  640  1564  20927  1040  312  28780  NA  30467  28000
1996  2555  1018  535  670  15344  848  229  21199  NA  22651  23000
1997  1519  689  99  510  10241  479  204  13741  NA  14901  18000
1998  1844  520  510  782  15198  549  339  19742  NA  20868  19100
1999  1919  828  NA  1458  16283  645  501  21634  NA  23475  22000
2000  1806  1069  362  1280  15273  600  539  20929  NA  22641  22000
2001  1874  772  411  958  13345  597  394  18351  NA  19944  19000
2002  1437  644  266  759  12120  451  292  15969  NA  16945  16000
2003  1605  703  728  749  12469  521  363  17138  NA  17920  15900
2004  1477  808  655  949  12860  535  544  17828  NA  18757  17000
2005  1374  831  676  756  10917  667  357  15579  NA  16355  18600
2006  980  585  648  475  8299  910  0  11933  NA  12594  17700
2007  955  413  401  458  10365  1203  5  13800  NA  14635  15000
2008  1379  507  714  513  9456  851  15  13435  NA  14071  12800
2009  1353  476  NA  555  12038  951  1  14898  NA  13952  14000
2010  1268  406  621  537  8770  526  1.38  12129  NA  12603  14100
2011  857  346  539  327  8133  786  2  10990  NA  11485  14100
2012  593  418  633  416  9089  599  3  11752  NA  11602  16200
2013  697  497  680  561  9987  867  0  13291  NA  13137  14000
2014  920  314  675  642  9569  840  0  12547  NA  13060  11900
2015  933  271  532  765  8899  804  0  12203  NA  12867  11900
2016  767  355  362  861  9600  705  0  12651  NA  14127  13262
2017  556  432  393  731  9155  513  0  11781  30  12370  16123
2018  408  368  432  717  8412  431  2  10771  57  11199  15694
2019  259  116  110  616  7212  334  1  8292   47  10607    12555
2020  240  123  37  914  6675  540  0 8808 43 10490  17545
